date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:58	15369/15369	---M-Z	200	added ('OK')	application/javascript	etag:%223c09-64637a37fa25f-gzip%22	https://hmc.unist.ac.kr/wp-content/themes/readme/js/share.min.js	hmc-site/hmc.unist.ac.kr/wp-content/themes/readme/js/share.min.js	(from https://hmc.unist.ac.kr/)
14:26:59	7539/7539	---M-Z	200	added ('OK')	application/javascript	etag:%221d73-64637a37fa25f-gzip%22	https://hmc.unist.ac.kr/wp-content/themes/readme/js/selection-sharer/selection-sharer.js	hmc-site/hmc.unist.ac.kr/wp-content/themes/readme/js/selection-sharer/selection-sharer.js	(from https://hmc.unist.ac.kr/)
14:27:00	13638/13638	---M-Z	200	added ('OK')	application/javascript	etag:%223546-64637a37f9e77-gzip%22	https://hmc.unist.ac.kr/wp-content/themes/readme/js/responsive-image-gallery/r-gallery.js	hmc-site/hmc.unist.ac.kr/wp-content/themes/readme/js/responsive-image-gallery/r-gallery.js	(from https://hmc.unist.ac.kr/)
14:27:01	6124/6124	---M-Z	200	added ('OK')	application/javascript	etag:%2217ec-64637a37fa25f-gzip%22	https://hmc.unist.ac.kr/wp-content/themes/readme/js/socialstream.jquery.js	hmc-site/hmc.unist.ac.kr/wp-content/themes/readme/js/socialstream.jquery.js	(from https://hmc.unist.ac.kr/)
14:27:02	16985/16985	---M-Z	200	added ('OK')	application/javascript	etag:%224259-64637a37f96a7-gzip%22	https://hmc.unist.ac.kr/wp-content/themes/readme/js/main.js	hmc-site/hmc.unist.ac.kr/wp-content/themes/readme/js/main.js	(from https://hmc.unist.ac.kr/)
14:27:03	126/126	---M-Z	200	added ('OK')	application/javascript	etag:%227e-64637a37fa25f-gzip%22	https://hmc.unist.ac.kr/wp-content/themes/readme/js/wp-fix.js	hmc-site/hmc.unist.ac.kr/wp-content/themes/readme/js/wp-fix.js	(from https://hmc.unist.ac.kr/)
14:27:04	20597/20597	---M-Z	200	added ('OK')	application/javascript	etag:%225075-64637a3727f0e-gzip%22	https://hmc.unist.ac.kr/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=6.2.0	hmc-site/hmc.unist.ac.kr/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min10df.js	(from https://hmc.unist.ac.kr/)
14:27:05	41808/41808	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22a350-64637a37f8707%22	https://hmc.unist.ac.kr/wp-content/themes/readme/css/fonts/fontello/font/fontello.eot?59379211	hmc-site/hmc.unist.ac.kr/wp-content/themes/readme/css/fonts/fontello/font/fontello7859.eot	(from https://hmc.unist.ac.kr/wp-content/themes/readme/css/fonts/fontello/css/fontello.css)
14:27:06	27820/27820	---M--	200	added ('OK')	application/x-font-woff	etag:%226cac-64637a37f8707%22	https://hmc.unist.ac.kr/wp-content/themes/readme/css/fonts/fontello/font/fontello.woff?59379211	hmc-site/hmc.unist.ac.kr/wp-content/themes/readme/css/fonts/fontello/font/fontello7859.woff	(from https://hmc.unist.ac.kr/wp-content/themes/readme/css/fonts/fontello/css/fontello.css)
14:27:07	41640/41640	---M--	200	added ('OK')	application/x-font-ttf	etag:%22a2a8-64637a37f8707%22	https://hmc.unist.ac.kr/wp-content/themes/readme/css/fonts/fontello/font/fontello.ttf?59379211	hmc-site/hmc.unist.ac.kr/wp-content/themes/readme/css/fonts/fontello/font/fontello7859.ttf	(from https://hmc.unist.ac.kr/wp-content/themes/readme/css/fonts/fontello/css/fontello.css)
